Driver,PitLap,PitLapTime,ReferenceLapTime,EstimatedPitLoss
BOT,28.0,83.547,78.899,4.647999999999996
BOT,52.0,102.191,82.063,20.128
HAM,42.0,81.893,77.87,4.022999999999996
RAI,14.0,81.741,78.472,3.2690000000000055
RAI,53.0,131.483,88.06450000000001,43.418499999999995
VET,25.0,82.849,78.649,4.200000000000003
