Driver,CleanLapCount,MeanLapTime,MedianLapTime,BestLapTime,DeltaToFastestMedian
HAM,51,88.53511764705883,87.889,86.615,0.0
VER,49,87.96263265306122,88.041,86.103,0.15200000000000102
STR,49,90.68567346938775,90.369,88.567,2.480000000000004
