Driver,Stint,Compound,StartLap,EndLap,LapCount,StartTyreLife,EndTyreLife,MeanLapTime,MedianLapTime,BestLapTime,StintLength
HAM,1.0,MEDIUM,1.0,13.0,13,4.0,16.0,88.7493076923077,88.585,88.134,13.0
HAM,2.0,HARD,16.0,58.0,38,3.0,45.0,88.46184210526316,87.627,86.615,43.0
STR,1.0,MEDIUM,1.0,20.0,20,1.0,20.0,91.61545,90.9325,90.283,20.0
STR,2.0,HARD,23.0,51.0,28,2.0,30.0,89.96071428571429,89.35499999999999,88.567,29.0
STR,3.0,SOFT,57.0,57.0,1,5.0,5.0,92.389,92.389,92.389,1.0
VER,1.0,SOFT,1.0,12.0,12,4.0,15.0,89.21783333333333,88.85849999999999,88.636,12.0
VER,2.0,HARD,15.0,35.0,21,2.0,22.0,88.234,88.179,87.581,21.0
VER,3.0,HARD,38.0,52.0,15,2.0,16.0,86.6682,86.656,86.103,15.0
VER,4.0,SOFT,58.0,58.0,1,8.0,8.0,86.618,86.618,86.618,1.0
