Driver,Stint,Compound,LapCountUsed,StartLap,EndLap,StartTyreLife,EndTyreLife,DegradationSecondsPerLap,EstimatedBaseLapTime,MeanLapTime,MedianLapTime
LEC,1.0,MEDIUM,34,1.0,34.0,1.0,34.0,-0.04415003819709517,78.38644919786094,77.61382352941177,77.3255
LEC,2.0,HARD,23,37.0,59.0,2.0,24.0,-0.03764426877470547,77.06015810276679,76.57078260869567,76.474
NOR,1.0,MEDIUM,43,1.0,43.0,1.0,43.0,-0.032960585925700815,79.71836544850495,78.99323255813952,78.478
PIA,1.0,MEDIUM,47,1.0,47.0,1.0,47.0,-0.016469241443107793,79.14711285846435,78.75185106382978,78.468
PIA,2.0,HARD,9,50.0,58.0,2.0,10.0,-0.13240000000000327,77.84940000000003,77.05499999999999,76.863
PIA,6.0,SOFT,8,71.0,78.0,7.0,14.0,-1.2123571428571438,90.6525,77.92275000000001,76.2225
SAI,1.0,MEDIUM,51,1.0,51.0,1.0,51.0,-0.01575402714932244,80.36052627450982,79.95092156862745,79.13
