Driver,CleanLapCount,MeanLapTime,MedianLapTime,BestLapTime,MedianDeltaToOther
RAI,59,78.55230508474577,78.2,75.99,-0.1769999999999925
VET,49,78.75112244897959,78.377,77.29,0.1769999999999925
