Driver,CleanLapCount,MeanLapTime,MedianLapTime,BestLapTime,MedianDeltaToOther
HAM,51,88.53511764705883,87.889,86.615,-0.15200000000000102
VER,49,87.96263265306122,88.041,86.103,0.15200000000000102
