Driver,CleanLapCount,MeanLapTime,MedianLapTime,BestLapTime,MedianDeltaToOther
LEC,51,84.03229411764706,83.718,83.226,-0.21299999999999386
SAI,51,84.33625490196079,83.931,83.219,0.21299999999999386
