Driver,Stint,Compound,LapCountUsed,StartLap,EndLap,StartTyreLife,EndTyreLife,DegradationSecondsPerLap,EstimatedBaseLapTime,MeanLapTime,MedianLapTime
HAM,1.0,MEDIUM,13,1.0,13.0,4.0,16.0,-0.14164835164834708,90.16579120879119,88.7493076923077,88.585
HAM,2.0,HARD,38,16.0,58.0,3.0,45.0,7.177181512561569e-05,88.46025934786644,88.46184210526317,87.627
STR,1.0,MEDIUM,20,1.0,20.0,1.0,20.0,-0.2358187969924785,94.09154736842106,91.61544999999998,90.9325
STR,2.0,HARD,28,23.0,51.0,2.0,30.0,-0.05832419777859977,90.89598445723544,89.96071428571427,89.35499999999999
VER,1.0,SOFT,12,1.0,12.0,4.0,15.0,-0.13811188811188993,90.52989627039628,89.21783333333333,88.85849999999999
VER,2.0,HARD,21,15.0,35.0,2.0,22.0,-0.059780519480520315,88.9513662337662,88.23399999999998,88.179
VER,3.0,HARD,15,38.0,52.0,2.0,16.0,0.06318214285714414,86.09956071428569,86.6682,86.656
