Driver,PitLap,PitLapTime,ReferenceLapTime,EstimatedPitLoss
LEC,15.0,90.192,84.916,5.275999999999996
NOR,14.0,89.417,84.655,4.7620000000000005
NOR,32.0,87.414,83.3,4.114000000000004
PIA,16.0,89.939,84.67,5.268999999999991
PIA,38.0,88.125,83.409,4.715999999999994
SAI,19.0,90.388,85.341,5.047000000000011
