Driver,PitLap,StintBefore,StintAfter,CompoundBefore,CompoundAfter
LEC,15.0,1.0,2.0,MEDIUM,HARD
NOR,14.0,1.0,2.0,MEDIUM,HARD
NOR,32.0,2.0,3.0,HARD,HARD
PIA,16.0,1.0,2.0,MEDIUM,HARD
PIA,38.0,2.0,3.0,HARD,HARD
SAI,19.0,1.0,2.0,MEDIUM,HARD
